DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
05/02/2025,57.24,57.77,55.77,55.9,37787329
04/02/2025,57.19,57.98,55.96,56.92,42367489
03/02/2025,57.78,59.1,55.41,56.37,93425367
01/02/2025,60.5,61.07,56.51,58.16,168912946
31/01/2025,57.0,58.17,56.55,58.17,111500110
30/01/2025,55.4,55.4,55.4,55.4,10961611
29/01/2025,52.77,52.77,52.77,52.77,13990368
28/01/2025,50.59,51.59,47.81,50.26,86563217
27/01/2025,52.4,52.48,49.91,50.23,66288203
24/01/2025,54.9,54.99,52.15,52.54,64210167
23/01/2025,55.12,56.64,54.19,54.31,49582278
22/01/2025,57.43,57.84,54.55,55.12,48986568
21/01/2025,58.35,58.47,56.35,57.43,33972001
20/01/2025,57.52,58.79,56.26,58.09,49547406
17/01/2025,57.0,57.39,55.94,56.84,41806502
16/01/2025,58.76,59.19,56.7,56.87,39797323
15/01/2025,57.17,59.8,56.81,57.26,65243228
14/01/2025,55.2,57.17,55.11,57.17,41045252
13/01/2025,54.5,57.0,53.98,54.45,92083914
10/01/2025,58.0,58.15,55.5,55.57,64397011
09/01/2025,60.34,60.35,57.65,57.88,35053006
08/01/2025,60.8,61.0,59.0,60.03,37159538
07/01/2025,58.06,61.79,58.06,60.88,59115926
06/01/2025,62.05,62.12,58.85,58.85,62445389
03/01/2025,63.0,63.25,61.8,61.95,42686992
02/01/2025,65.0,65.1,62.55,62.92,67889756
01/01/2025,62.64,65.33,62.07,65.33,62229972
30/04/2026,56.5,56.5,55.0,55.58,102354018
29/04/2026,57.75,58.06,56.4,56.81,127240966
28/04/2026,57.15,57.87,56.9,57.32,138320111
27/04/2026,54.26,57.48,54.26,56.93,215958603
24/04/2026,53.9,54.25,52.93,53.91,103128445
23/04/2026,54.51,55.05,53.52,53.73,114711783
22/04/2026,53.15,54.7,52.9,54.57,147736421
21/04/2026,52.81,53.35,52.26,53.1,114713319
20/04/2026,53.34,53.45,51.87,52.5,153681261
17/04/2026,50.79,53.74,50.57,52.93,337159969
16/04/2026,50.03,50.53,49.01,50.25,161130833
15/04/2026,47.0,49.36,46.73,49.13,215457241
13/04/2026,44.5,46.41,43.89,45.86,132245471
10/04/2026,44.48,45.65,44.38,45.32,67332752
09/04/2026,44.23,44.56,43.36,44.23,80302508
08/04/2026,43.4,44.38,42.63,44.23,98803804
07/04/2026,41.29,41.9,40.93,41.55,39145918
06/04/2026,40.9,41.73,39.84,41.59,66648727
02/04/2026,40.5,40.98,39.77,40.78,64825364
01/04/2026,41.39,41.59,40.8,41.12,58512083
30/03/2026,40.0,40.81,39.1,39.56,126591848
27/03/2026,41.85,42.05,40.6,40.82,73603173
25/03/2026,41.5,42.85,41.43,42.27,76079784
24/03/2026,41.3,41.3,39.95,41.04,65440981
23/03/2026,41.76,41.76,39.7,39.94,68192562
20/03/2026,41.4,42.73,41.34,41.95,71960845
19/03/2026,41.2,41.79,40.82,41.09,55593734
18/03/2026,41.34,42.3,41.21,42.06,58427254
17/03/2026,41.5,41.6,40.51,41.27,70423021
16/03/2026,41.49,42.23,40.72,41.01,81266796
13/03/2026,42.42,42.83,40.98,41.41,79497665
12/03/2026,41.51,43.54,40.93,42.43,108432510
11/03/2026,41.72,42.06,41.4,41.62,64189593
10/03/2026,40.38,41.64,40.0,41.45,70866917
09/03/2026,39.49,39.76,38.19,39.62,71721599
06/03/2026,40.25,40.99,39.85,39.99,63058597
05/03/2026,40.25,40.64,39.22,40.25,89173308
04/03/2026,40.2,40.55,39.7,39.93,71113339
02/03/2026,39.13,41.79,39.13,40.95,116013965
27/02/2026,43.27,43.3,42.45,42.67,85724851
26/02/2026,43.18,43.9,42.87,43.27,49800911
25/02/2026,44.34,44.74,42.6,43.18,75839738
24/02/2026,44.25,44.39,43.36,44.13,56568697
23/02/2026,44.56,44.96,43.83,44.25,49442100
20/02/2026,45.2,45.35,44.26,44.46,61647383
19/02/2026,46.05,46.39,45.0,45.25,36681650
18/02/2026,45.95,46.29,45.81,46.09,22066437
17/02/2026,46.19,46.57,45.71,45.94,39827932
16/02/2026,45.67,46.33,45.34,46.21,39325966
13/02/2026,46.6,46.74,45.55,45.67,52618195
12/02/2026,47.3,47.55,46.72,46.81,38946281
11/02/2026,47.71,47.74,46.7,47.38,57124692
10/02/2026,48.2,48.39,47.55,47.69,40362194
09/02/2026,48.26,48.57,47.61,48.19,51743958
06/02/2026,47.85,48.2,47.25,48.04,57960744
05/02/2026,50.0,50.02,47.0,47.85,121302173
04/02/2026,49.26,50.0,48.8,49.77,55580192
03/02/2026,49.31,49.69,48.42,49.16,78516505
02/02/2026,46.5,47.25,45.41,46.99,45471127
01/02/2026,48.21,48.95,45.95,46.17,67892850
30/01/2026,47.43,47.97,46.79,47.67,60762661
29/01/2026,48.03,48.09,46.63,47.44,55397230
28/01/2026,46.01,48.0,46.01,47.8,59993734
27/01/2026,45.85,46.25,44.88,45.79,62941841
23/01/2026,47.4,47.4,45.55,45.7,49252985
22/01/2026,46.4,47.2,45.75,46.99,56239464
21/01/2026,46.3,46.69,45.37,45.53,78076574
20/01/2026,47.98,48.33,46.2,46.34,60935304
19/01/2026,48.69,48.92,47.45,47.98,52924798
16/01/2026,49.02,49.36,48.15,48.45,105047207
14/01/2026,48.49,49.8,48.16,49.01,55863563
13/01/2026,49.55,49.7,47.8,48.69,75354673
12/01/2026,49.3,49.38,47.9,49.2,66498246
09/01/2026,50.82,51.09,48.87,49.2,89917429
08/01/2026,52.9,53.41,50.65,50.93,59316617
07/01/2026,53.3,53.69,52.67,52.9,48744390
06/01/2026,53.7,53.99,52.87,53.45,31119731
05/01/2026,54.4,54.54,53.3,53.67,40693570
02/01/2026,52.59,54.4,52.44,54.28,59517999
01/01/2026,52.71,52.98,52.05,52.47,26749342
