DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
28/01/2026,121.57,124.87,121.07,124.42,448336.0
29/01/2026,124.42,124.7,120,124,432979.0
30/01/2026,122.15,127.7,120,121.2,278194.0
01/02/2026,123.02,124,119.23,120.55,207054.0
02/02/2026,119.6,122.35,116.55,121.46,314293.0
03/02/2026,133.32,138,125.1,125.7,1678578.0
04/02/2026,125.79,131.01,124.31,126.86,612345.0
05/02/2026,126.91,128.47,124.73,125.78,319012.0
06/02/2026,124.3,127.5,124.2,125.71,179778.0
09/02/2026,126.4,130.49,125.13,128.25,1962891.0
10/02/2026,130.5,133.7,129.83,131.57,1527094.0
11/02/2026,131.99,147.5,130.65,144.78,9909901.0
12/02/2026,145.42,149.4,141.61,144.35,2625721.0
13/02/2026,143,145.98,136.51,138.32,1245906.0
16/02/2026,138.45,143.29,137.15,138.82,1127048.0
17/02/2026,138.5,145,138,143.28,986998.0
18/02/2026,144.6,151.95,144.6,145.44,2501419.0
19/02/2026,145.59,147.98,141.6,142.74,745049.0
20/02/2026,142.74,142.9,139.82,141.1,446460.0
23/02/2026,141.49,142.66,136.62,140.55,691967.0
24/02/2026,140.55,141.64,136.71,138.87,457582.0
25/02/2026,138.92,142.47,137,140.87,898278.0
26/02/2026,140.87,140.96,134.68,137.12,566707.0
27/02/2026,136.25,138.47,132,134.51,560797.0
02/03/2026,129.9,134.32,127.7,131.51,702984.0
04/03/2026,131,131,122.2,125.33,497024.0
05/03/2026,126.05,126.7,122.37,125.2,434248.0
06/03/2026,125.2,126.67,121.32,121.87,367761.0
09/03/2026,119.5,120,116.32,118.31,449559.0
10/03/2026,122.13,122.21,118.1,121.96,387461.0
11/03/2026,122.5,125.5,120.4,122.89,801667.0
12/03/2026,121.91,123.56,118.24,122.06,439437.0
13/03/2026,121.01,121.05,114.3,115.21,543309.0
16/03/2026,115.21,117.88,113.6,116.98,515723.0
16/03/2026,115.21,117.88,113.6,116.98,515723.0
17/03/2026,117.58,117.77,115.83,116.69,277653.0
17/03/2026,117.58,117.77,115.83,116.69,277653.0
18/03/2026,116.69,122.0,115.98,121.34,345703.0
18/03/2026,116.69,122.0,115.98,121.34,345703.0
19/03/2026,119.0,119.85,117.0,117.72,245764.0
19/03/2026,119.0,119.85,117.0,117.72,245764.0
20/03/2026,118.3,123.54,118.0,119.14,549786.0
20/03/2026,118.3,123.54,118.0,119.14,549786.0
