Date,Close,High,Low,Open,Volume
,ROLEXRINGS.NS,ROLEXRINGS.NS,ROLEXRINGS.NS,ROLEXRINGS.NS,ROLEXRINGS.NS
29/12/2025,127.9899979,129.3000031,125.9000015,126.5999985,896350
30/12/2025,127.9000015,128.4900055,125.1500015,128,336905
31/12/2025,128.7700043,129.9799957,127.2200012,129,521488
01/01/2026,127.9899979,130,127.3199997,130,311844
02/01/2026,134.2299957,137.75,127.7600021,127.9000015,4248096
05/01/2026,129.25,135.3200073,128.3000031,135.3200073,1444154
06/01/2026,126.2399979,130.3899994,125.5800018,130.2799988,834504
07/01/2026,125.6999969,127.25,123.4700012,127.25,836083
08/01/2026,125.1900024,126.8899994,123.0699997,126.3000031,708851
09/01/2026,123.0599976,125.1900024,120.0999985,125.1900024,913099
12/01/2026,120.3300018,123,118.2099991,123,1037202
13/01/2026,122.7699966,123.6399994,120.75,121.5299988,443309
14/01/2026,120.5299988,122.6299973,120,122.6299973,480336
15/01/2026,120.5299988,120.5299988,120.5299988,120.5299988,0
16/01/2026,119.4700012,120.8300018,119,120.3000031,385510
19/01/2026,122.3600006,124.5,118.5299988,119.3499985,861948
20/01/2026,118,124.4899979,114.4000015,124.4899979,880943
21/01/2026,119.1100006,120.0800018,116.25,116.25,601736
22/01/2026,121.6999969,122.4000015,118.8499985,119,300259
23/01/2026,119.9199982,122.8499985,118.2699966,122.8499985,277330
27/01/2026,120.4700012,122,117,122,399335
28/01/2026,124.4199982,124.8700027,121.0699997,121.5699997,448336
29/01/2026,124,124.6999969,120,124.4199982,432979
30/01/2026,121.1999969,127.6999969,120,122.1500015,278194
02/02/2026,121.4599991,122.3499985,116.5500031,119.5999985,314293
03/02/2026,125.6999969,138,125.0999985,133.3200073,1678578
04/02/2026,126.8600006,131.0099945,124.3099976,125.7900009,612345
05/02/2026,125.7799988,128.4700012,124.7300034,126.9100037,319012
06/02/2026,125.7099991,127.5,124.1999969,124.3000031,179778
09/02/2026,128.25,130.4900055,125.1299973,126.4000015,1962891
10/02/2026,131.5700073,133.6999969,129.8300018,130.5,1527094
11/02/2026,144.7799988,147.5,130.6499939,131.9900055,9909901
12/02/2026,144.3500061,149.3999939,141.6100006,145.4199982,2625721
13/02/2026,138.3200073,145.9799957,136.5099945,143,1245906
16/02/2026,138.8200073,143.2899933,137.1499939,138.4499969,1127048
17/02/2026,143.2799988,145,138,138.5,986998
18/02/2026,145.4400024,151.9499969,144.6000061,144.6000061,2501419
19/02/2026,142.7400055,147.9799957,141.6000061,145.5899963,745049
20/02/2026,141.1000061,142.8999939,139.8200073,142.7400055,446460
23/02/2026,140.5500031,142.6600037,136.6199951,141.4900055,691967
24/02/2026,138.8699951,141.6399994,136.7100067,140.5500031,457582
25/02/2026,140.8699951,142.4700012,137,138.9199982,898278
26/02/2026,137.1199951,140.9600067,134.6799927,140.8699951,566707
27/02/2026,134.5099945,138.4700012,132,136.25,560797
02/03/2026,131.5099945,134.3200073,127.6999969,129.8999939,702984
04/03/2026,125.3300018,131,122.1999969,131,497024
05/03/2026,125.1999969,126.6999969,122.3700027,126.0500031,434248
06/03/2026,121.8700027,126.6699982,121.3199997,125.1999969,367761
09/03/2026,118.3099976,120,116.3199997,119.5,449559
10/03/2026,121.9599991,122.2099991,118.0999985,122.1299973,387461
11/03/2026,122.8899994,125.5,120.4000015,122.5,801667
12/03/2026,122.0599976,123.5599976,118.2399979,121.9100037,439437
